Aug 2020,"Universal Studio Singapore yang berada di Pulau Sentosa, Singapura ini adalah wahana bermain Universal Studios yang pertama kali dibuka di wilayah Asia Tenggara, dan ke-dua di wilayah Asia."
Nov 2019,"cukup beruntung hanya membeli tiket biasa dapat mengikuti hampir semua aktrasi, karena pagi-pagi cuaca hujan..... saya sarankan untuk membeli tiket express"
Aug 2019,Tempat liburan keluarga yang sangat menarik untuk dikunjungi sebagai sarana rekreasi dan edukasi bagi keluarga
Feb 2020,"Beli tiketnya via OTA dan kebetulan sudah print dari rumah. Sampai di USS langsung tunjukan ke petugas, barcodenya discan dan langsung bisa masuk. Buka pukul 10 pagi dan benar benar harus siapkan tenaga buat main seharian. Tas tidak diperiksa sehingga sepertinya bisa membawa makanan dan minuman dari luar. Wahana lengkap untuk segala usia."
Feb 2020,"Jalan jalan bareng si kecil, emang menyenangkan dan di tempat ini sangat bagus dan menyenangkan buat liburan dengan buah hati, tempat bagus, makanan enak2 dan murah.."
Jan 2020,"No comment. Tempat wisata yang sangat cocok untuk semua usia, terdapat banyak wahana permainan yg mungkin tidak bisa ditemukan di tempat lain, fasilitas lengkap walau hanya terdapat mushola kecil dan kurang sesuai dibanding tempat wisata yg begitu megah dan luas."
Nov 2019,"Dari seluruh wahana yang ada, yang beberapa kami naiki, semuanya cukup menyenangkan. Kami senang kesini dan akan kembali lagi suatu hari."
Dec 2018,"So fun!.Tempat ini memiliki banyak wahana yang seru, Makanan di restorannya juga enak enak, dan kita juga bisa shopping.Seruu banget!"
Sep 2019,Merupakan pulau yang berada di sentosa .Di dalamnya terdapat resort mewah dan banyak tempat atraksi.Terdapat patung besar merlion sentosa
Oct 2019,Banyak mainan dari mulai untuk anak-anak hingga dewasa. Hanya saja waktu antrinya lama banget. Jadi harus jeli mana aja yang worth buat diantriin.
Oct 2019,"Di Universal studio, anda bisa menemui semua wahana yg bisa memanjakan anak anda dg berbagai atraksi dan permainan, jangan lupa mengambil gambar di Bola dunia dan menikmati garret yg terkenal. Naik skytrain dari vivo city atau bisa melalui jembatan penghubung dibawahnya."
Sep 2019,Lokasi mudah diakses. Banyak tempat mainannya yang masing-masing mempunyai keasikan dan pengalam tersendiri. Fasiltas cukup lengkap dan bersih. Disarankan untuk memulai dari sebelah kiri memutar.
Oct 2019,"Taman bermain yang cocok dikunjungi wisatawan untuj segala usia. Universal studio berada di dalam kawasan sentosa island. Harus sediakan waktu 1 hari penuh untuk bermain supaya puas. Untuk hunting foto juga banyak spot2 foto yang cantik. Untuk tiket bisa beli online atau lsg beli di lokasi. Di komplek universal juga banyak tempat wisata lain yang bisa dikunjungi dan banyak toko2, tempat makan, toko souvenir untuk oleh2😁"
Sep 2019,wahana sangat cocok dinikmati sekeluarga ada banyak pilihan permainan ekstrim hingga yang ringan dilengkapi foodcourt dengan ragam menu.
May 2019,"Menyenangkan menghabiskan waktu di Universal Studio. Lebih nyaman berkunjung kesana tidak dalam masa liburan sekolah, karena akan sangat penuh di setiap arena"
Jun 2019,"Keren ini salah satu icon singapur, walaupun ga masuk kedalam tapi tetep bisa foto disini gratis tis tis loh🤭"
Nov 2018,"Kalau sudah urusan dunia fantasi, play ground dan sejenisnya...gak cuma anak2 yang hepi.. Orang tuanya juga sangat hepi. Pada kesempatan inipun kami sekelurga menyemoatkan diri ikut bermain dan bersuka cita disalah satu wahana permainan yang besar di asia tenggara di Singapura.  Universal Singapura menurut saya sudah cukup baik hanya saja krn udara cukup panas dan lokasi cooling down sedikit menyebabkan badan lekas lelah. Spot makanan dan minuman cukup baik, namun jenisnya yang kurang beragam katena saat saya kesana terkesan dimonopoli sponsor.  Tokoh2 yang ada kurang sehidup universal studio lainnya atau walt disney, but anyway we are fun, and I wish I can comeback some day with my fam..."
Aug 2018,"Pertama kali diajak ke Universal Studio saya awalnya agak malas karena tidak begitu suka wahana anak2, tetapi saat tiba di sana, penilaian saya berubah, suasana di sana menakjubkan, walau panas dan capek tidak terasa. Air bersih bebas refill di fountain yang ada di dekat toilet, layak dan segar untuk diminum maupun dimasukkan botol minum. Amazing place..."
